Marital status,Application mode,Course,Daytime/evening attendance	,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder
0,0,9,1,0,18,23,0,0,1,0,1,0,0
0,0,11,1,0,12,27,9,9,1,0,1,0,0
0,0,14,1,0,2,13,1,4,1,0,1,0,1
0,0,5,1,0,12,0,8,7,1,0,1,0,0
0,11,10,1,11,2,13,2,3,0,0,1,0,1
0,0,11,1,0,22,0,7,4,1,0,1,0,1
0,0,11,1,0,21,26,9,9,0,0,1,0,1
0,13,7,1,0,0,2,9,2,1,0,1,0,1
0,11,16,0,0,21,26,9,9,0,0,1,0,1
0,13,14,1,0,0,0,4,5,0,0,1,0,0
0,11,12,1,14,0,0,4,5,0,0,1,0,0
0,8,8,1,0,12,2,5,5,1,0,1,0,1
0,11,2,0,0,12,26,8,7,1,0,1,0,0
0,11,2,0,0,0,13,5,4,0,0,1,0,1
0,7,5,1,0,12,26,1,3,0,0,1,0,0
0,0,8,1,0,22,27,7,7,0,0,1,0,1
1,0,15,1,0,21,26,5,7,0,0,1,0,1
0,0,10,1,0,0,0,3,3,1,0,1,0,0
0,15,11,1,0,12,0,5,9,0,0,1,0,1
0,8,11,1,0,0,27,4,5,1,0,1,0,1
1,3,16,0,16,24,4,3,3,0,0,1,0,0
1,3,8,1,2,0,3,3,10,0,0,1,0,0
0,0,9,1,0,0,0,9,9,0,0,1,0,1
0,11,13,1,0,18,23,0,0,1,0,1,0,0
0,13,11,1,0,0,0,5,8,1,0,1,0,1
0,0,10,1,0,0,26,4,5,1,0,1,0,0
0,11,10,1,2,12,13,4,6,0,0,1,0,0
0,0,13,1,0,0,2,4,3,0,0,1,0,0
0,0,10,1,0,0,26,9,9,0,0,1,0,1
0,0,8,1,0,21,0,9,10,0,0,1,0,0
0,0,9,1,0,22,26,9,9,0,0,1,0,1
0,0,15,1,0,12,13,5,7,0,0,1,0,1
0,7,9,1,0,21,26,3,9,0,0,1,0,1
0,0,7,1,0,12,0,9,9,1,0,0,0,0
0,11,5,1,11,12,13,9,7,0,1,0,0,0
0,0,11,1,0,2,0,4,4,1,0,1,0,0
0,6,1,1,0,2,2,3,3,1,0,1,0,0
0,0,8,1,0,21,13,5,5,1,0,1,0,1
0,11,8,1,0,21,0,9,1,0,0,0,0,0
0,0,8,1,0,22,13,9,10,0,0,1,0,1
0,3,11,1,2,12,27,5,3,0,0,1,0,0
0,7,11,1,0,12,26,7,6,1,0,1,0,1
0,14,3,1,13,21,26,9,10,0,1,0,0,0
0,0,10,1,0,12,26,4,7,1,0,1,0,0
0,0,13,1,0,12,0,9,8,1,0,1,0,1
0,0,4,1,0,12,27,9,9,1,0,1,0,0
0,0,14,1,0,22,26,7,7,1,0,1,0,1
0,0,5,1,0,6,13,11,6,0,0,1,0,0
0,0,14,1,0,21,26,9,8,1,0,1,0,0
0,7,8,1,0,0,0,4,4,0,0,1,0,0
1,11,12,1,11,22,26,7,7,1,1,0,0,1
0,7,16,0,14,21,26,6,6,0,0,1,0,0
0,7,4,1,0,21,26,9,9,0,0,1,0,0
0,0,9,1,0,0,0,9,8,1,0,1,0,1
0,13,9,1,0,0,0,3,1,1,1,0,0,0
0,0,10,1,0,21,27,9,7,0,0,1,0,1
0,11,2,0,0,21,26,12,12,0,0,1,0,0
0,13,6,1,0,21,27,9,9,0,1,0,0,0
0,0,9,1,0,0,0,4,4,0,0,1,0,0
0,0,9,1,0,22,13,9,5,0,0,1,0,0
0,0,14,1,0,2,0,1,3,1,0,1,0,0
0,7,11,1,0,3,0,2,3,1,0,1,0,0
0,0,14,1,0,22,27,9,9,1,0,1,0,1
0,0,4,1,0,21,26,9,9,1,0,1,0,1
0,0,11,1,0,0,0,9,9,0,0,1,0,1
0,14,3,1,13,21,27,4,8,0,0,1,0,1
0,0,8,1,0,0,13,9,9,1,0,0,0,0
0,7,8,1,0,9,13,4,8,1,0,1,0,0
0,0,11,1,0,4,0,2,5,0,0,1,0,0
0,0,9,1,0,0,27,4,5,0,0,1,0,0
0,7,11,1,0,9,0,4,10,1,0,1,0,0
0,12,15,1,0,21,27,3,3,0,0,1,0,0
1,3,7,1,2,4,3,2,0,0,1,0,0,0
0,0,11,1,0,12,13,5,6,0,0,1,0,1
0,0,11,1,0,12,13,5,5,1,0,1,0,1
0,6,8,1,0,22,26,9,9,1,0,1,0,1
3,0,2,0,0,23,13,4,10,1,0,1,0,1
1,15,16,0,0,21,26,8,4,0,0,1,0,0
0,0,4,1,0,12,26,7,5,0,0,1,0,1
0,0,2,0,0,22,27,0,0,0,0,1,0,0
1,11,14,1,8,0,0,4,4,0,0,1,0,0
0,7,4,1,0,3,26,2,9,0,0,1,0,0
0,11,2,0,10,18,0,11,2,0,0,1,0,0
0,8,2,0,0,2,0,3,4,1,0,1,0,1
0,11,11,1,0,2,2,1,1,1,0,1,0,0
0,7,5,1,0,12,13,4,10,1,0,1,0,0
0,14,3,1,13,12,26,6,6,0,1,1,0,1
0,14,3,1,13,21,26,9,4,0,0,1,0,0
0,7,9,1,0,12,13,28,28,1,0,1,0,1
0,0,4,1,0,22,26,3,6,1,0,1,0,1
1,0,11,1,0,2,27,2,4,0,0,1,0,1
0,7,14,1,0,12,27,9,8,1,0,1,0,1
0,0,9,1,0,0,0,3,3,1,0,1,0,0
0,7,12,1,0,0,0,4,10,1,0,1,0,0
0,0,11,1,0,12,27,5,7,0,0,1,0,0
0,7,13,1,0,22,27,9,7,1,0,1,0,0
0,0,5,1,0,22,26,9,9,1,0,1,0,1
0,0,11,1,0,12,13,4,9,0,0,1,0,1
0,15,13,1,0,12,13,5,5,0,1,0,0,0
0,7,9,1,0,0,8,4,3,1,0,1,0,0
0,0,13,1,0,0,13,4,10,1,0,1,0,0
0,7,13,1,0,0,13,5,5,1,0,1,0,0
0,11,7,1,2,2,0,11,11,1,0,1,0,0
0,0,5,1,0,8,8,11,11,0,0,1,0,0
0,14,7,1,13,21,26,7,8,1,1,0,0,0
0,15,9,1,0,2,13,2,1,0,1,1,0,0
0,7,15,1,0,18,23,0,0,1,0,1,0,0
0,7,8,1,0,12,13,4,8,0,0,1,0,1
0,7,15,1,0,22,27,5,7,1,0,1,0,1
0,15,8,1,0,0,0,4,4,0,0,1,0,0
0,0,8,1,0,0,27,4,3,0,0,1,0,0
0,0,11,1,0,12,13,3,6,1,0,1,0,1
0,0,11,1,0,25,13,3,5,0,0,1,0,0
0,0,9,1,0,12,27,5,9,0,0,1,0,1
0,7,11,1,0,22,27,7,7,0,0,1,0,0
0,3,5,1,14,12,13,9,5,0,1,0,0,0
0,12,11,1,0,21,26,7,9,1,0,1,0,1
0,0,11,1,0,0,0,5,1,0,0,1,0,0
0,13,8,1,0,21,26,9,9,0,0,1,0,0
0,2,5,1,0,0,13,7,5,1,0,1,0,0
0,0,10,1,0,12,13,5,8,1,0,1,0,0
0,13,11,1,5,0,26,9,9,1,0,1,0,0
0,0,9,1,0,0,0,9,6,0,1,1,0,0
0,0,15,1,0,1,13,4,4,1,0,1,0,0
0,0,5,1,0,12,27,9,5,1,0,1,0,0
0,0,15,1,0,0,27,9,6,1,0,1,0,0
0,14,6,1,13,12,26,4,7,0,1,1,0,0
0,0,9,1,0,22,27,7,7,1,0,1,0,0
0,0,2,0,0,21,27,9,10,0,0,1,0,0
0,0,9,1,0,18,26,4,9,1,0,1,0,1
0,14,9,1,13,22,26,7,7,0,0,1,0,0
0,3,15,1,14,25,2,2,1,0,1,1,0,0
0,0,11,1,0,22,27,7,7,1,0,1,0,1
0,7,9,1,0,2,0,9,10,0,0,1,0,0
0,7,7,1,0,1,6,3,5,0,0,1,0,0
0,0,5,1,0,0,1,3,1,1,0,1,0,0
0,0,1,1,0,2,2,2,2,1,0,1,0,0
1,11,2,0,0,21,26,9,9,1,0,1,0,0
0,11,3,1,2,2,2,1,2,0,0,1,0,0
0,12,8,1,0,21,27,9,1,1,0,1,0,0
0,0,14,1,0,12,13,7,5,1,0,1,0,0
0,13,9,1,0,21,26,9,9,0,0,1,0,0
3,11,16,0,0,21,26,6,6,0,0,1,0,0
1,11,9,1,0,21,26,9,9,0,0,1,0,0
0,0,2,0,0,2,0,3,9,0,0,1,0,0
0,0,10,1,0,12,13,9,9,1,0,1,0,0
0,13,14,1,0,12,13,9,8,0,0,1,0,1
0,0,1,1,0,0,0,9,5,1,0,0,0,0
1,0,11,1,0,21,27,9,7,0,1,1,0,1
0,0,10,1,0,12,13,4,6,0,1,0,0,0
0,7,5,1,0,12,0,4,5,1,0,1,0,0
0,11,11,1,11,22,26,9,9,0,0,1,0,0
0,11,16,0,0,21,26,11,8,0,0,1,0,0
0,11,3,1,0,21,26,3,8,0,1,1,0,1
0,11,5,1,16,2,28,2,3,0,0,1,0,0
0,7,15,1,0,12,27,4,1,1,0,1,0,0
0,0,14,1,0,21,27,9,7,0,1,1,0,0
0,7,8,1,0,12,27,9,10,1,0,1,0,0
0,16,5,1,15,12,26,9,8,1,0,1,0,1
0,0,11,1,0,0,0,9,1,1,0,1,0,0
0,0,5,1,0,21,27,7,5,1,0,1,0,1
0,0,11,1,0,12,27,4,8,1,0,1,0,1
0,7,5,1,0,12,26,2,7,0,0,1,0,0
0,0,15,1,0,22,26,28,45,1,0,1,0,1
0,0,11,1,0,12,13,9,5,1,0,1,0,0
1,13,2,0,0,21,28,9,4,0,0,1,0,0
3,11,16,0,0,22,13,9,7,0,0,1,0,1
0,7,14,1,0,0,13,4,7,0,0,1,0,1
3,11,16,0,0,0,26,19,42,0,0,1,0,0
1,11,5,1,11,22,27,4,7,0,0,1,0,0
1,15,2,0,11,21,26,9,9,0,1,1,0,0
0,8,8,1,0,21,26,9,9,1,0,0,0,0
0,0,11,1,0,0,0,4,4,1,0,1,0,1
0,7,15,1,0,2,2,3,3,1,0,0,0,1
0,14,5,1,13,21,27,5,6,1,0,1,0,0
3,11,11,1,11,22,13,5,7,0,0,1,0,1
0,13,11,1,0,12,26,8,8,0,0,1,0,0
0,0,9,1,0,22,27,5,7,0,0,1,0,0
0,0,15,1,0,12,13,5,5,0,0,1,0,1
0,16,8,1,15,2,3,2,1,0,0,1,0,0
0,0,9,1,0,18,23,0,0,0,0,1,0,0
0,0,15,1,0,21,26,9,9,0,0,1,0,0
0,11,16,0,2,21,26,9,9,0,0,1,0,0
0,7,15,1,0,0,13,4,5,1,0,1,0,0
0,14,2,0,13,21,26,7,7,0,0,1,0,1
0,14,5,1,13,3,27,4,5,1,0,1,0,0
0,11,11,1,0,0,13,5,3,0,0,1,0,0
0,0,14,1,0,17,26,7,7,1,1,0,0,0
0,7,5,1,0,0,0,9,10,0,0,0,0,0
0,7,5,1,0,0,13,4,3,0,0,1,0,0
0,0,11,1,0,0,0,4,9,1,0,1,0,1
0,15,9,1,0,2,13,3,10,1,0,1,0,0
0,14,5,1,13,22,26,4,6,1,0,1,0,1
0,7,13,1,0,21,13,5,8,1,1,1,0,0
0,7,8,1,0,22,26,6,4,1,0,1,0,0
0,7,4,1,0,0,2,3,3,0,0,1,0,1
0,7,10,1,0,21,26,7,7,1,0,1,0,0
0,0,14,1,0,22,26,9,9,1,0,1,0,0
0,0,10,1,0,12,27,9,9,0,0,1,0,0
0,7,11,1,0,21,26,5,5,1,0,1,0,0
0,0,1,1,0,0,13,3,9,1,0,1,0,0
0,3,4,1,14,0,13,3,9,1,0,1,0,0
0,11,16,0,14,0,13,9,9,0,0,1,0,0
0,7,9,1,0,0,13,4,4,0,0,1,0,0
3,11,5,1,0,18,23,0,0,0,0,1,0,0
0,0,11,1,0,12,13,7,7,1,0,1,0,1
0,11,11,1,2,12,0,4,8,0,0,1,0,0
0,0,11,1,0,0,0,4,10,1,0,1,0,0
0,3,16,0,14,21,26,6,6,0,0,1,0,0
0,0,9,1,0,0,27,9,7,1,0,1,0,1
0,0,5,1,0,21,26,11,11,0,0,1,0,0
0,0,5,1,0,0,0,9,9,1,0,1,0,0
0,0,15,1,0,12,13,9,9,1,0,1,0,0
0,0,11,1,0,21,26,9,9,1,0,1,0,1
0,0,11,1,0,0,13,4,5,0,0,1,0,0
0,0,11,1,0,1,0,2,8,0,0,1,0,1
0,12,16,0,0,0,1,4,3,0,0,1,0,0
0,14,5,1,13,0,1,4,6,1,0,1,0,0
0,0,11,1,0,2,0,3,3,1,0,1,0,0
0,7,12,1,0,12,1,5,3,1,0,1,0,0
0,0,11,1,0,21,26,9,3,0,0,1,0,0
0,0,13,1,0,22,27,3,7,1,0,1,0,0
0,7,8,1,0,22,1,9,2,1,0,1,0,0
2,0,5,1,0,12,0,4,4,1,0,1,0,0
0,7,13,1,0,12,27,4,10,0,0,1,0,0
0,0,11,1,0,21,27,9,9,1,0,1,0,1
0,11,2,0,0,21,26,7,8,0,0,1,0,1
0,7,8,1,0,22,27,6,8,1,0,1,0,1
0,0,11,1,0,0,0,11,3,0,0,1,0,1
0,0,14,1,0,0,13,4,8,1,0,1,0,0
0,0,11,1,0,12,13,5,5,1,0,1,0,1
0,7,10,1,0,12,13,5,5,0,0,1,0,1
0,0,13,1,0,12,26,4,5,0,0,1,0,1
0,0,13,1,0,6,0,2,4,1,0,1,0,0
1,11,11,1,11,21,26,9,9,1,0,1,0,0
0,13,12,1,0,2,3,3,2,0,0,1,0,0
0,13,7,1,0,12,27,4,5,1,1,1,0,0
0,7,11,1,0,12,27,9,3,1,0,1,0,0
0,0,11,1,0,12,13,7,8,1,0,1,0,1
0,7,13,1,0,12,13,1,1,0,0,1,0,0
0,0,9,1,0,21,13,9,3,1,0,1,0,1
0,0,11,1,0,2,0,2,1,0,0,1,0,1
0,0,11,1,0,0,13,7,7,1,0,1,0,0
0,0,14,1,0,0,13,9,7,1,0,1,0,0
0,0,10,1,0,12,27,3,10,1,0,1,0,1
0,8,11,1,0,22,26,5,5,1,0,1,0,0
0,0,11,1,0,21,26,9,8,1,0,1,0,1
0,0,11,1,0,12,13,7,5,1,0,1,0,0
0,7,5,1,0,12,26,4,7,0,0,1,0,0
0,0,8,1,0,12,27,9,7,1,0,1,0,0
1,11,2,0,0,18,23,12,12,0,0,1,0,0
0,3,3,1,2,22,26,5,6,0,0,1,0,0
0,13,15,1,0,21,13,9,8,0,0,1,0,0
1,11,3,1,0,0,13,4,9,1,0,1,0,0
0,7,14,1,0,21,26,5,7,0,0,1,0,1
0,0,7,1,0,2,2,3,2,1,0,1,0,0
0,15,4,1,0,12,13,5,7,0,0,1,0,1
0,7,9,1,0,2,0,2,3,0,0,1,0,0
0,11,8,1,11,2,0,3,5,1,1,1,0,0
0,7,9,1,0,0,0,4,9,0,0,1,0,0
0,13,2,0,0,2,2,2,3,0,0,1,0,0
0,0,15,1,0,0,27,5,10,1,0,1,0,0
0,13,9,1,0,18,23,0,0,0,0,1,0,1
0,0,11,1,0,12,27,4,8,1,0,1,0,1
0,7,9,1,0,21,26,4,9,1,0,1,0,1
0,7,11,1,0,0,26,9,9,1,0,1,0,1
0,0,10,1,0,12,27,9,7,0,0,1,0,1
0,0,13,1,0,22,13,7,10,0,0,1,0,0
0,0,11,1,0,12,13,9,9,1,0,1,0,0
0,11,10,1,6,18,23,0,0,1,0,0,0,0
0,0,13,1,0,0,13,3,5,1,0,1,0,0
0,0,12,1,0,12,13,9,9,1,0,1,0,0
0,3,11,1,2,18,23,0,0,0,0,1,0,0
0,0,11,1,0,2,0,3,3,0,0,1,0,0
0,7,9,1,0,22,13,28,38,1,0,1,0,1
0,0,11,1,0,0,0,4,4,0,0,1,0,0
0,8,11,1,0,0,13,1,1,1,0,1,0,1
0,0,11,1,0,2,0,2,5,0,0,1,0,0
0,14,5,1,13,22,27,9,7,0,0,1,0,0
0,0,11,1,0,0,13,9,5,1,0,1,0,1
0,7,15,1,0,0,26,7,9,0,0,1,0,1
0,13,13,1,0,22,13,4,3,1,0,1,0,0
0,11,13,1,0,0,13,5,4,0,0,1,0,0
0,7,11,1,0,21,26,9,7,1,0,1,0,1
0,0,11,1,0,22,27,5,5,1,0,1,0,1
0,0,4,1,0,12,0,3,8,0,0,1,0,0
0,0,13,1,0,21,26,5,5,0,0,1,0,0
0,0,11,1,0,0,2,3,2,1,0,1,0,0
